"","Wynik_funkcji_fitness","Indeks_wyniku","Czas","Szansa_na_mutacje","Populacja","Elityzm"
"1",85,1,0.461000000000013,0,10,1
"42",88,2,0.463999999999942,0,10,1
"82",90,15,0.485999999999876,0.05,10,1
"41",91,46,0.486999999999853,0.05,10,1
"122",90,11,0.498000000000047,0.1,10,1
"242",91,84,0.503999999999905,0.25,10,1
"402",90,57,0.509000000000015,0.45,10,1
"162",91,34,0.51299999999992,0.15,10,1
"322",91,82,0.51299999999992,0.35,10,1
"2",85,4,0.519999999999982,0,10,0
"43",85,2,0.524999999999864,0,10,0
"362",90,18,0.527000000000044,0.4,10,1
"442",90,89,0.527000000000044,0.5,10,1
"202",91,53,0.528999999999996,0.2,10,1
"482",91,61,0.532000000000153,0.55,10,1
"562",89,69,0.532999999999447,0.65,10,1
"123",90,38,0.536000000000058,0.1,10,0
"83",91,38,0.543999999999869,0.05,10,0
"642",90,20,0.552999999999884,0.75,10,1
"323",90,31,0.554999999999836,0.35,10,0
"282",90,37,0.557999999999993,0.3,10,1
"203",91,34,0.561999999999898,0.2,10,0
"163",90,38,0.562000000000353,0.15,10,0
"403",90,87,0.568000000000211,0.45,10,0
"722",89,59,0.570000000000618,0.85,10,1
"522",90,88,0.571999999999207,0.6,10,1
"243",90,21,0.572999999999865,0.25,10,0
"682",89,8,0.574999999999818,0.8,10,1
"363",89,81,0.577999999999975,0.4,10,0
"802",87,6,0.578999999999724,0.95,10,1
"762",90,84,0.579999999999927,0.9,10,1
"443",89,40,0.58199999999988,0.5,10,0
"283",90,15,0.58600000000024,0.3,10,0
"602",89,73,0.59099999999944,0.7,10,1
"523",89,81,0.603000000000065,0.6,10,0
"723",87,19,0.605999999999767,0.85,10,0
"842",87,26,0.61200000000008,1,10,1
"683",89,28,0.619999999999891,0.8,10,0
"603",89,36,0.621000000000095,0.7,10,0
"483",89,70,0.630999999999858,0.55,10,0
"643",90,77,0.631000000000313,0.75,10,0
"763",87,9,0.636000000000422,0.9,10,0
"563",89,33,0.63799999999992,0.65,10,0
"843",88,3,0.649000000000342,1,10,0
"803",89,66,0.652000000000044,0.95,10,0
"44",87,1,0.941000000000031,0,20,1
"3",87,4,0.958000000000084,0,20,1
"4",88,4,0.969000000000051,0,20,0
"45",87,4,0.998000000000047,0,20,0
"84",91,54,1.02500000000009,0.05,20,1
"164",91,12,1.02999999999975,0.15,20,1
"244",91,51,1.05700000000024,0.25,20,1
"124",90,16,1.06799999999998,0.1,20,1
"85",91,42,1.06899999999996,0.05,20,0
"284",91,33,1.07899999999972,0.3,20,1
"125",91,19,1.08400000000006,0.1,20,0
"364",90,26,1.08599999999979,0.4,20,1
"204",91,10,1.08600000000024,0.2,20,1
"404",90,95,1.10300000000007,0.45,20,1
"324",91,57,1.10899999999992,0.35,20,1
"484",90,11,1.10999999999967,0.55,20,1
"444",90,69,1.11400000000003,0.5,20,1
"245",90,36,1.12199999999984,0.25,20,0
"165",91,51,1.12300000000005,0.15,20,0
"524",90,98,1.1230000000005,0.6,20,1
"205",91,55,1.12899999999991,0.2,20,0
"564",90,5,1.13000000000011,0.65,20,1
"325",90,10,1.13099999999986,0.35,20,0
"285",90,13,1.13799999999992,0.3,20,0
"604",90,80,1.14300000000003,0.7,20,1
"405",90,100,1.15599999999995,0.45,20,0
"365",90,38,1.15900000000011,0.4,20,0
"485",90,13,1.17500000000018,0.55,20,0
"684",89,9,1.17600000000039,0.8,20,1
"445",89,6,1.18100000000004,0.5,20,0
"724",90,86,1.19399999999951,0.85,20,1
"644",89,23,1.19499999999971,0.75,20,1
"565",89,70,1.20499999999993,0.65,20,0
"525",90,100,1.21100000000024,0.6,20,0
"764",89,30,1.21500000000015,0.9,20,1
"804",89,89,1.22500000000036,0.95,20,1
"605",89,63,1.22899999999936,0.7,20,0
"844",88,20,1.23300000000017,1,20,1
"765",89,21,1.24099999999999,0.9,20,0
"645",88,25,1.24900000000071,0.75,20,0
"725",89,26,1.27199999999993,0.85,20,0
"685",90,25,1.28600000000006,0.8,20,0
"845",89,32,1.28800000000047,1,20,0
"805",88,40,1.30299999999988,0.95,20,0
"46",89,4,1.40599999999995,0,30,1
"5",87,5,1.44100000000003,0,30,1
"47",89,4,1.471,0,30,0
"6",88,5,1.48199999999997,0,30,0
"86",90,23,1.55799999999999,0.05,30,1
"126",91,17,1.57500000000005,0.1,30,1
"166",91,35,1.57500000000027,0.15,30,1
"206",91,33,1.58200000000033,0.2,30,1
"87",91,43,1.59799999999996,0.05,30,0
"127",91,23,1.60299999999984,0.1,30,0
"167",91,25,1.61100000000033,0.15,30,0
"286",91,96,1.61500000000024,0.3,30,1
"326",91,67,1.62700000000041,0.35,30,1
"207",91,40,1.63900000000012,0.2,30,0
"246",91,28,1.64600000000019,0.25,30,1
"247",91,42,1.64899999999989,0.25,30,0
"406",90,20,1.6579999999999,0.45,30,1
"366",91,68,1.65900000000011,0.4,30,1
"486",91,51,1.69000000000005,0.55,30,1
"287",90,51,1.71199999999999,0.3,30,0
"446",90,27,1.721,0.5,30,1
"367",89,38,1.72299999999996,0.4,30,0
"327",90,62,1.72800000000007,0.35,30,0
"526",89,17,1.72900000000027,0.6,30,1
"566",89,38,1.73199999999997,0.65,30,1
"447",90,72,1.74699999999984,0.5,30,0
"407",90,76,1.75399999999991,0.45,30,0
"686",89,5,1.75699999999961,0.8,30,1
"646",89,21,1.76099999999951,0.75,30,1
"606",89,10,1.76100000000042,0.7,30,1
"527",91,28,1.76900000000023,0.6,30,0
"487",89,6,1.78900000000021,0.55,30,0
"607",90,38,1.80500000000029,0.7,30,0
"766",89,6,1.80600000000049,0.9,30,1
"567",91,22,1.8130000000001,0.65,30,0
"806",89,69,1.82099999999991,0.95,30,1
"726",90,4,1.83899999999994,0.85,30,1
"687",89,25,1.85000000000036,0.8,30,0
"647",89,26,1.85499999999956,0.75,30,0
"846",89,15,1.86299999999937,1,30,1
"727",89,51,1.88500000000022,0.85,30,0
"48",90,3,1.89499999999998,0,40,1
"807",89,83,1.90700000000015,0.95,30,0
"767",89,35,1.92000000000007,0.9,30,0
"847",89,86,1.92100000000028,1,30,0
"7",88,11,1.923,0,40,1
"8",88,2,1.9369999999999,0,40,0
"49",90,11,1.96400000000017,0,40,0
"88",91,75,2.07500000000005,0.05,40,1
"128",91,25,2.11099999999988,0.1,40,1
"168",90,6,2.12699999999995,0.15,40,1
"248",91,48,2.12900000000036,0.25,40,1
"129",91,25,2.14499999999998,0.1,40,0
"208",91,62,2.14499999999998,0.2,40,1
"89",91,76,2.14599999999996,0.05,40,0
"169",91,34,2.17599999999993,0.15,40,0
"288",91,44,2.17799999999988,0.3,40,1
"209",91,12,2.20000000000027,0.2,40,0
"328",90,9,2.20399999999972,0.35,40,1
"368",91,68,2.23700000000008,0.4,40,1
"289",91,80,2.24299999999994,0.3,40,0
"249",91,28,2.24499999999989,0.25,40,0
"408",91,91,2.26200000000017,0.45,40,1
"448",91,51,2.27300000000014,0.5,40,1
"488",90,44,2.2819999999997,0.55,40,1
"329",90,32,2.3130000000001,0.35,40,0
"369",90,15,2.31399999999985,0.4,40,0
"528",90,6,2.32699999999932,0.6,40,1
"449",90,4,2.33600000000024,0.5,40,0
"409",90,5,2.33699999999999,0.45,40,0
"568",89,5,2.34200000000055,0.65,40,1
"489",90,3,2.36200000000008,0.55,40,0
"529",90,52,2.3700000000008,0.6,40,0
"569",90,70,2.38499999999931,0.65,40,0
"608",89,18,2.38600000000042,0.7,40,1
"648",90,6,2.39499999999953,0.75,40,1
"609",90,89,2.40200000000004,0.7,40,0
"728",89,59,2.41100000000006,0.85,40,1
"9",87,3,2.41200000000003,0,50,1
"688",90,100,2.41800000000057,0.8,40,1
"768",89,56,2.42499999999927,0.9,40,1
"10",87,3,2.42999999999984,0,50,0
"50",87,5,2.43499999999995,0,50,1
"808",89,51,2.46700000000055,0.95,40,1
"649",89,63,2.47500000000036,0.75,40,0
"848",89,6,2.47699999999986,1,40,1
"51",90,4,2.48099999999999,0,50,0
"689",89,31,2.5,0.8,40,0
"769",89,32,2.5019999999995,0.9,40,0
"729",89,42,2.51699999999983,0.85,40,0
"849",89,18,2.53499999999985,1,40,0
"809",90,34,2.55299999999988,0.95,40,0
"90",91,20,2.61899999999991,0.05,50,1
"130",91,7,2.64499999999998,0.1,50,1
"170",91,38,2.65300000000025,0.15,50,1
"91",91,49,2.68200000000002,0.05,50,0
"210",91,37,2.69399999999996,0.2,50,1
"171",91,34,2.71799999999985,0.15,50,0
"250",91,30,2.72899999999981,0.25,50,1
"131",91,11,2.74700000000007,0.1,50,0
"330",91,22,2.76199999999972,0.35,50,1
"290",91,37,2.77099999999973,0.3,50,1
"251",91,61,2.78600000000006,0.25,50,0
"291",90,16,2.79300000000012,0.3,50,0
"211",91,50,2.80600000000004,0.2,50,0
"410",91,69,2.81699999999955,0.45,50,1
"370",91,46,2.83199999999988,0.4,50,1
"450",90,86,2.85400000000027,0.5,50,1
"331",91,82,2.86199999999963,0.35,50,0
"490",90,87,2.86999999999989,0.55,50,1
"411",90,26,2.87899999999991,0.45,50,0
"11",91,7,2.88999999999987,0,60,1
"371",90,37,2.89199999999983,0.4,50,0
"530",90,26,2.90499999999975,0.6,50,1
"52",89,2,2.91200000000003,0,60,1
"451",90,24,2.92900000000009,0.5,50,0
"491",89,9,2.94200000000001,0.55,50,0
"531",91,69,2.95799999999963,0.6,50,0
"610",89,63,2.95899999999983,0.7,50,1
"53",88,6,2.96000000000004,0,60,0
"12",90,2,2.96100000000001,0,60,0
"570",89,10,2.96799999999985,0.65,50,1
"650",89,5,2.97299999999996,0.75,50,1
"571",90,60,2.97600000000057,0.65,50,0
"611",90,65,3.00699999999961,0.7,50,0
"730",89,9,3.0630000000001,0.85,50,1
"770",89,73,3.08100000000013,0.9,50,1
"691",90,33,3.09299999999985,0.8,50,0
"651",89,3,3.09599999999955,0.75,50,0
"690",89,13,3.10400000000027,0.8,50,1
"810",89,16,3.10900000000038,0.95,50,1
"850",90,57,3.11499999999978,1,50,1
"731",90,56,3.11599999999999,0.85,50,0
"92",91,50,3.14300000000003,0.05,60,1
"771",89,8,3.17699999999968,0.9,50,0
"93",91,27,3.17700000000013,0.05,60,0
"132",91,23,3.18100000000004,0.1,60,1
"172",91,48,3.1869999999999,0.15,60,1
"811",90,62,3.20600000000013,0.95,50,0
"851",89,4,3.20899999999983,1,50,0
"212",91,16,3.23099999999977,0.2,60,1
"252",91,11,3.26499999999987,0.25,60,1
"173",91,24,3.27999999999975,0.15,60,0
"133",91,11,3.31700000000001,0.1,60,0
"293",91,38,3.32099999999991,0.3,60,0
"332",90,19,3.32600000000002,0.35,60,1
"292",91,77,3.33699999999999,0.3,60,1
"213",91,31,3.34400000000005,0.2,60,0
"372",90,14,3.34900000000016,0.4,60,1
"13",91,5,3.36900000000014,0,70,1
"54",90,5,3.39600000000019,0,70,1
"14",90,7,3.39799999999991,0,70,0
"412",90,5,3.40499999999975,0.45,60,1
"333",90,20,3.41200000000026,0.35,60,0
"373",90,8,3.42599999999993,0.4,60,0
"452",91,52,3.43899999999985,0.5,60,1
"492",90,18,3.46000000000004,0.55,60,1
"253",91,8,3.46699999999964,0.25,60,0
"413",90,46,3.48399999999992,0.45,60,0
"55",89,4,3.4849999999999,0,70,0
"572",90,6,3.49499999999989,0.65,60,1
"453",90,17,3.50199999999995,0.5,60,0
"532",90,14,3.51400000000012,0.6,60,1
"612",90,59,3.55799999999999,0.7,60,1
"493",90,27,3.58699999999999,0.55,60,0
"533",90,56,3.59799999999996,0.6,60,0
"573",90,14,3.60400000000027,0.65,60,0
"652",90,91,3.60699999999997,0.75,60,1
"692",89,16,3.63199999999961,0.8,60,1
"94",91,5,3.654,0.05,70,1
"613",89,15,3.65599999999995,0.7,60,0
"732",90,90,3.68900000000031,0.85,60,1
"653",90,10,3.6909999999998,0.75,60,0
"693",89,26,3.70499999999993,0.8,60,0
"772",90,62,3.70899999999983,0.9,60,1
"134",91,20,3.70900000000006,0.1,70,1
"812",89,1,3.72099999999955,0.95,60,1
"773",88,8,3.73499999999967,0.9,60,0
"95",91,5,3.75199999999995,0.05,70,0
"135",91,15,3.75799999999981,0.1,70,0
"214",91,14,3.76800000000003,0.2,70,1
"733",90,98,3.77899999999954,0.85,60,0
"175",91,5,3.80299999999988,0.15,70,0
"852",89,45,3.80499999999938,1,60,1
"174",91,9,3.80699999999979,0.15,70,1
"294",91,20,3.8130000000001,0.3,70,1
"254",91,11,3.83100000000013,0.25,70,1
"853",89,18,3.83200000000033,1,60,0
"813",88,24,3.84299999999985,0.95,60,0
"215",91,29,3.86999999999989,0.2,70,0
"255",91,21,3.8760000000002,0.25,70,0
"334",90,17,3.87899999999991,0.35,70,1
"15",90,4,3.89900000000011,0,80,1
"16",89,4,3.9190000000001,0,80,0
"295",91,40,3.93299999999999,0.3,70,0
"56",90,4,3.93399999999997,0,80,1
"414",91,45,3.95299999999997,0.45,70,1
"374",91,9,3.9670000000001,0.4,70,1
"335",90,19,3.97600000000011,0.35,70,0
"57",90,3,3.99099999999999,0,80,0
"454",90,21,4.01000000000022,0.5,70,1
"375",90,70,4.02399999999989,0.4,70,0
"415",90,19,4.03600000000006,0.45,70,0
"494",91,35,4.04899999999998,0.55,70,1
"534",90,7,4.09500000000025,0.6,70,1
"455",90,67,4.10300000000007,0.5,70,0
"574",90,48,4.13000000000011,0.65,70,1
"495",90,19,4.154,0.55,70,0
"614",90,81,4.16800000000057,0.7,70,1
"535",90,4,4.17399999999998,0.6,70,0
"96",91,12,4.20100000000002,0.05,80,1
"654",89,46,4.20300000000043,0.75,70,1
"136",91,9,4.22199999999998,0.1,80,1
"575",89,10,4.25,0.65,70,0
"615",90,52,4.26400000000012,0.7,70,0
"655",90,83,4.27899999999954,0.75,70,0
"734",89,10,4.29699999999957,0.85,70,1
"694",90,49,4.30000000000018,0.8,70,1
"176",91,29,4.32200000000012,0.15,80,1
"137",91,11,4.32500000000005,0.1,80,0
"97",91,38,4.35000000000014,0.05,80,0
"177",91,18,4.35900000000038,0.15,80,0
"18",91,6,4.36999999999989,0,90,0
"695",90,41,4.3739999999998,0.8,70,0
"735",89,14,4.3739999999998,0.85,70,0
"216",91,12,4.37400000000025,0.2,80,1
"774",90,72,4.375,0.9,70,1
"17",91,8,4.37699999999995,0,90,1
"256",91,45,4.39499999999998,0.25,80,1
"58",91,63,4.40099999999984,0,90,1
"296",91,15,4.404,0.3,80,1
"814",89,1,4.41200000000026,0.95,70,1
"854",89,27,4.41899999999987,1,70,1
"775",89,20,4.42000000000007,0.9,70,0
"217",91,32,4.42599999999993,0.2,80,0
"59",89,6,4.44599999999991,0,90,0
"257",91,21,4.45899999999983,0.25,80,0
"297",91,39,4.47799999999961,0.3,80,0
"336",90,15,4.49399999999969,0.35,80,1
"855",89,37,4.49600000000009,1,70,0
"815",89,3,4.51500000000033,0.95,70,0
"376",90,10,4.52399999999989,0.4,80,1
"337",90,11,4.56899999999996,0.35,80,0
"377",91,58,4.5949999999998,0.4,80,0
"416",91,72,4.62100000000009,0.45,80,1
"417",90,27,4.63700000000017,0.45,80,0
"456",90,28,4.65999999999985,0.5,80,1
"496",90,24,4.6869999999999,0.55,80,1
"457",90,53,4.69999999999982,0.5,80,0
"536",91,74,4.72999999999956,0.6,80,1
"497",90,63,4.76299999999992,0.55,80,0
"576",90,72,4.79100000000017,0.65,80,1
"98",91,46,4.79199999999992,0.05,90,1
"99",91,12,4.79200000000014,0.05,90,0
"616",90,3,4.80999999999949,0.7,80,1
"138",91,18,4.82400000000007,0.1,90,1
"577",90,5,4.83500000000004,0.65,80,0
"178",91,9,4.84799999999996,0.15,90,1
"537",90,88,4.85900000000038,0.6,80,0
"656",90,51,4.86099999999988,0.75,80,1
"60",90,6,4.86199999999985,0,100,1
"617",90,72,4.8760000000002,0.7,80,0
"19",90,6,4.88300000000004,0,100,1
"139",91,4,4.904,0.1,90,0
"218",91,12,4.90400000000045,0.2,90,1
"657",90,59,4.90800000000036,0.75,80,0
"696",90,14,4.91600000000017,0.8,80,1
"736",89,3,4.92100000000028,0.85,80,1
"20",91,6,4.93599999999992,0,100,0
"179",91,10,4.93600000000015,0.15,90,0
"697",90,23,4.9399999999996,0.8,80,0
"61",91,4,4.96400000000017,0,100,0
"776",90,83,4.97000000000025,0.9,80,1
"258",91,8,4.97599999999966,0.25,90,1
"219",91,24,4.99000000000024,0.2,90,0
"298",91,20,4.99199999999973,0.3,90,1
"737",89,7,5.00099999999929,0.85,80,0
"816",89,12,5.00500000000011,0.95,80,1
"777",89,28,5.01400000000012,0.9,80,0
"259",91,51,5.02000000000044,0.25,90,0
"338",91,28,5.03699999999981,0.35,90,1
"856",90,21,5.0600000000004,1,80,1
"299",91,22,5.07600000000002,0.3,90,0
"378",91,31,5.10000000000036,0.4,90,1
"339",91,19,5.11599999999999,0.35,90,0
"418",91,79,5.13499999999976,0.45,90,1
"379",90,7,5.13599999999997,0.4,90,0
"857",90,54,5.15599999999995,1,80,0
"458",90,22,5.17399999999998,0.5,90,1
"817",89,8,5.17599999999948,0.95,80,0
"498",90,54,5.19000000000005,0.55,90,1
"419",90,11,5.2199999999998,0.45,90,0
"100",91,22,5.2650000000001,0.05,100,1
"499",90,16,5.30600000000004,0.55,90,0
"459",90,5,5.30700000000024,0.5,90,0
"578",90,16,5.30799999999999,0.65,90,1
"538",90,12,5.3130000000001,0.6,90,1
"140",91,10,5.34099999999989,0.1,100,1
"21",90,6,5.35299999999984,0,110,1
"539",91,91,5.35999999999967,0.6,90,0
"22",91,18,5.38299999999981,0,110,0
"101",91,37,5.38900000000012,0.05,100,0
"618",89,39,5.39499999999953,0.7,90,1
"62",90,5,5.404,0,110,1
"579",90,57,5.40700000000015,0.65,90,0
"180",91,13,5.42399999999998,0.15,100,1
"658",90,45,5.42500000000018,0.75,90,1
"63",90,4,5.44700000000012,0,110,0
"619",90,8,5.45100000000002,0.7,90,0
"141",91,11,5.45499999999993,0.1,100,0
"260",91,17,5.48599999999988,0.25,100,1
"698",89,19,5.48599999999988,0.8,90,1
"738",89,3,5.4970000000003,0.85,90,1
"181",91,7,5.50199999999995,0.15,100,0
"659",90,2,5.51999999999953,0.75,90,0
"300",91,43,5.529,0.3,100,1
"221",91,8,5.54399999999987,0.2,100,0
"699",90,4,5.54500000000007,0.8,90,0
"261",91,11,5.57200000000012,0.25,100,0
"778",90,40,5.57600000000002,0.9,90,1
"340",91,59,5.59000000000015,0.35,100,1
"220",91,25,5.59299999999985,0.2,100,1
"818",89,16,5.61599999999999,0.95,90,1
"739",90,52,5.625,0.85,90,0
"380",90,13,5.63299999999981,0.4,100,1
"779",89,3,5.64600000000064,0.9,90,0
"858",89,23,5.65499999999975,1,90,1
"341",91,48,5.66300000000001,0.35,100,0
"420",90,15,5.68900000000031,0.45,100,1
"301",91,5,5.71499999999969,0.3,100,0
"819",89,4,5.71500000000015,0.95,90,0
"381",90,7,5.75900000000001,0.4,100,0
"859",90,11,5.77400000000034,1,90,0
"460",91,25,5.7800000000002,0.5,100,1
"102",91,3,5.79300000000012,0.05,110,1
"421",90,11,5.79699999999957,0.45,100,0
"500",90,10,5.81500000000005,0.55,100,1
"142",91,9,5.84000000000015,0.1,110,1
"64",91,9,5.84899999999993,0,120,1
"461",90,33,5.85300000000007,0.5,100,0
"540",90,43,5.87199999999939,0.6,100,1
"24",90,5,5.88699999999994,0,120,0
"501",89,3,5.88700000000017,0.55,100,0
"103",91,13,5.90300000000002,0.05,110,0
"23",90,4,5.9190000000001,0,120,1
"541",89,11,5.9380000000001,0.6,100,0
"580",90,5,5.94200000000001,0.65,100,1
"143",91,12,5.95499999999993,0.1,110,0
"581",89,4,5.96399999999994,0.65,100,0
"65",89,5,5.97699999999986,0,120,0
"183",91,14,5.98700000000008,0.15,110,0
"222",91,14,5.99299999999994,0.2,110,1
"620",90,48,6.00300000000061,0.7,100,1
"182",91,8,6.01900000000023,0.15,110,1
